sitename,uv,PublishAgency,County,WGS84Lon,WGS84Lat,PublishTime
Hualien,2.27,中央氣象局,Hualien縣,121.6015714,23.9871589,2015/11/16 15:00
Matsu,1.58,中央氣象局,連江縣,119.9516652,26.160243,2015/11/16 15:00
Kaoshung,1.91,中央氣象局,Kaoshung市,120.3014353,22.6272784,2015/11/16 15:00
Yu shan,3.49,中央氣象局,南投縣,120.9718638,23.9609981,2015/11/16 15:00
Tainan,1.99,中央氣象局,Tainan市,120.2270277,22.9997281,2015/11/16 15:00
Hsinchu,1.94,中央氣象局,Hsinchu縣,121.0177246,24.8387226,2015/11/16 15:00
Wuling,1.93,中央氣象局,Taipei市,121.5654177,25.0329694,2015/11/16 15:00
Hengchun,2.71,中央氣象局,屏東縣,120.5487597,22.5519759,2015/11/16 15:00
Taipei,1.55,中央氣象局,Taipei市,121.5654177,25.0329694,2015/11/16 15:00
Chunkkung,3.09,中央氣象局,Taitung縣,121.0713702,22.7972447,2015/11/16 15:00
Keelong,1.46,中央氣象局,Keelong市,121.7391833,25.1276033,2015/11/16 15:00
Xinwu,1.95,中央氣象局,桃園市,121.3009798,24.9936281,2015/11/16 15:00
Lanyu,2.48,中央氣象局,Taitung縣,121.0713702,22.7972447,2015/11/16 15:00
Taitung,2.55,中央氣象局,Taitung縣,121.0713702,22.7972447,2015/11/16 15:00
Sun Moon Lake,1.94,中央氣象局,南投縣,120.9718638,23.9609981,2015/11/16 15:00
Kinmen,1.96,中央氣象局,金門縣,118.3766352,24.4493726,2015/11/16 15:00
Yilan,1.9,中央氣象局,宜蘭縣,121.7377502,24.7021073,2015/11/16 15:00
Penghu,2.77,中央氣象局,澎湖縣,119.5793157,23.5711899,2015/11/16 15:00
Taichung,1.43,中央氣象局,臺中市,120.6736482,24.1477358,2015/11/16 15:00
Chiayi,1.53,中央氣象局,嘉義市,120.4491113,23.4800751,2015/11/16 15:00
Pingtong,2,環境保護署,屏東縣,120.5487597,22.5519759,2015/11/16 15:00
Qiaotou,2,環境保護署,Kaoshung市,120.3014353,22.6272784,2015/11/16 15:00
Hsinying,2,環境保護署,Tainan市,120.2270277,22.9997281,2015/11/16 15:00
Puzhi,3,環境保護署,嘉義縣,120.2554615,23.4518428,2015/11/16 15:00
Tatachia,5,環境保護署,嘉義縣,120.2554615,23.4518428,2015/11/16 15:00
Alishan,1,環境保護署,嘉義縣,120.2554615,23.4518428,2015/11/16 15:00
Doliu,2,環境保護署,雲林縣,120.4313373,23.7092033,2015/11/16 15:00
Chunghua,3,環境保護署,彰化縣,120.5161352,24.0517963,2015/11/16 15:00
Shalu,3,環境保護署,臺中市,120.6736482,24.1477358,2015/11/16 15:00
Miaoli,2,環境保護署,苗栗縣,120.8214265,24.560159,2015/11/16 15:00
Taoyuan,3,環境保護署,桃園市,121.3009798,24.9936281,2015/11/16 15:00
Banqiao,2,環境保護署,新北市,121.4627868,25.0169826,2015/11/16 15:00
Tamsui,2,環境保護署,新北市,121.4627868,25.0169826,2015/11/16 15:00
Nantou,0,環境保護署,南投縣,120.9718638,23.9609981,2015/11/16 14:00
