"Children Age 17 and Under in Immigrant and Native Families, 1990*",,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Number of all children (under 18),Children (under 18) with at least one immigrant parent,,,,Children with U.S.-born parents,,,,,,,,
Year,Geography,,Number,As a percentage of all children,U.S. Born,U.S.-born children as a percentage of children in immigrant families,,,,,,,,,
,,,,,,,,,,,,,,,
1990,United States," 60,975 "," 8,194 ",13.4%," 6,310 ",77.0%," 52,781 ",,,,,,,,
,,,,,,,,,,,,,,,
,Alabama," 1,003 ", 21 ,2.1%, 18 ,84.9%, 982 ,,,,,,,,
,Alaska, 167 , 13 ,7.8%, 12 ,90.1%, 154 ,,,,,,,,
,Arizona, 938 , 147 ,15.7%, 116 ,78.5%, 791 ,,,,,,,,
,Arkansas, 591 , 12 ,2.1%, 10 ,80.5%, 579 ,,,,,,,,
,California," 7,340 "," 2,821 ",38.4%," 2,066 ",73.2%," 4,519 ",,,,,,,,
,Colorado, 835 , 69 ,8.3%, 57 ,82.4%, 766 ,,,,,,,,
,Connecticut, 728 , 98 ,13.4%, 80 ,82.4%, 630 ,,,,,,,,
,Delaware, 156 , 9 ,5.8%, 8 ,87.9%, 147 ,,,,,,,,
,District of Columbia, 104 , 13 ,12.5%, 9 ,69.0%, 91 ,,,,,,,,
,Florida," 2,722 ", 537 ,19.7%, 404 ,75.3%," 2,185 ",,,,,,,,
,Georgia," 1,643 ", 76 ,4.6%, 58 ,77.1%," 1,567 ",,,,,,,,
,Hawaii, 268 , 66 ,24.8%, 55 ,82.5%, 202 ,,,,,,,,
,Idaho, 293 , 17 ,5.7%, 14 ,82.8%, 276 ,,,,,,,,
,Illinois," 2,834 ", 409 ,14.4%, 332 ,81.2%," 2,425 ",,,,,,,,
,Indiana," 1,421 ", 42 ,2.9%, 36 ,85.9%," 1,379 ",,,,,,,,
,Iowa, 702 , 17 ,2.4%, 13 ,75.7%, 685 ,,,,,,,,
,Kansas, 642 , 33 ,5.1%, 26 ,80.7%, 609 ,,,,,,,,
,Kentucky, 919 , 15 ,1.7%, 13 ,82.9%, 903 ,,,,,,,,
,Louisiana," 1,161 ", 41 ,3.5%, 33 ,81.0%," 1,120 ",,,,,,,,
,Maine, 303 , 15 ,4.9%, 13 ,90.4%, 288 ,,,,,,,,
,Maryland," 1,116 ", 120 ,10.7%, 91 ,76.2%, 996 ,,,,,,,,
,Massachusetts," 1,314 ", 204 ,15.5%, 159 ,77.8%," 1,110 ",,,,,,,,
,Michigan," 2,379 ", 138 ,5.8%, 118 ,85.6%," 2,241 ",,,,,,,,
,Minnesota," 1,143 ", 52 ,4.6%, 38 ,73.0%," 1,090 ",,,,,,,,
,Mississippi, 701 , 10 ,1.4%, 9 ,86.3%, 691 ,,,,,,,,
,Missouri," 1,267 ", 36 ,2.8%, 30 ,83.2%," 1,231 ",,,,,,,,
,Montana, 215 , 5 ,2.4%, 5 ,94.0%, 210 ,,,,,,,,
,Nebraska, 421 , 12 ,2.9%, 10 ,85.5%, 409 ,,,,,,,,
,Nevada, 283 , 43 ,15.2%, 33 ,76.5%, 240 ,,,,,,,,
,New Hampshire, 273 , 17 ,6.3%, 16 ,92.2%, 256 ,,,,,,,,
,New Jersey," 1,728 ", 349 ,20.2%, 270 ,77.2%," 1,378 ",,,,,,,,
,New Mexico, 426 , 52 ,12.1%, 42 ,82.5%, 374 ,,,,,,,,
,New York," 4,032 ", 961 ,23.8%, 725 ,75.4%," 3,070 ",,,,,,,,
,North Carolina," 1,530 ", 52 ,3.4%, 43 ,82.1%," 1,479 ",,,,,,,,
,North Dakota, 171 , 4 ,2.1%, 3 ,95.3%, 167 ,,,,,,,,
,Ohio," 2,721 ", 91 ,3.4%, 78 ,84.9%," 2,629 ",,,,,,,,
,Oklahoma, 805 , 34 ,4.2%, 28 ,83.2%, 771 ,,,,,,,,
,Oregon, 695 , 56 ,8.0%, 45 ,79.6%, 639 ,,,,,,,,
,Pennsylvania," 2,694 ", 125 ,4.6%, 102 ,81.8%," 2,569 ",,,,,,,,
,Rhode Island, 222 , 40 ,18.1%, 31 ,76.1%, 182 ,,,,,,,,
,South Carolina, 869 , 20 ,2.4%, 17 ,83.6%, 849 ,,,,,,,,
,South Dakota, 192 , 4 ,2.0%, 4 ,93.3%, 188 ,,,,,,,,
,Tennessee," 1,160 ", 27 ,2.3%, 22 ,80.0%," 1,133 ",,,,,,,,
,Texas," 4,619 ", 903 ,19.5%, 728 ,80.6%," 3,717 ",,,,,,,,
,Utah, 615 , 38 ,6.2%, 34 ,88.1%, 577 ,,,,,,,,
,Vermont, 140 , 6 ,4.4%, 6 ,91.9%, 133 ,,,,,,,,
,Virginia," 1,443 ", 125 ,8.7%, 96 ,76.3%," 1,318 ",,,,,,,,
,Washington," 1,213 ", 136 ,11.2%, 107 ,78.8%," 1,076 ",,,,,,,,
,West Virginia, 429 , 7 ,1.7%, 7 ,90.1%, 422 ,,,,,,,,
,Wisconsin," 1,260 ", 53 ,4.2%, 41 ,78.2%," 1,208 ",,,,,,,,
,Wyoming, 133 , 5 ,3.4%, 4 ,89.7%, 128 ,,,,,,,,
,,,,,,,,,,,,,,,
