"Children Under 18 in Immigrant and Native Families, 2000*",,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of all children (under 18),Children (under 18) with at least one immigrant parent,,,,Children with U.S.-born parents,,,,,,
Year,Geography,,Number,As a percentage of all children,U.S. Born,U.S.-born children as a percentage of children in immigrant families,,,,,,,
,,,,,,,,,,,,,
2000,United States," 68,564 "," 13,089 ",19.1%," 10,399 ",79.5%," 55,475 ",,,,,,
,,,,,,,,,,,,,
,Alabama," 1,059 ", 36 ,3.4%, 29 ,80.1%," 1,023 ",,,,,,
,Alaska, 181 , 20 ,10.9%, 16 ,84.0%, 161 ,,,,,,
,Arizona," 1,286 ", 333 ,25.9%, 254 ,76.2%, 953 ,,,,,,
,Arkansas, 635 , 34 ,5.3%, 26 ,76.4%, 602 ,,,,,,
,California," 8,665 "," 4,103 ",47.3%," 3,350 ",81.7%," 4,563 ",,,,,,
,Colorado," 1,055 ", 163 ,15.5%, 122 ,75.1%, 892 ,,,,,,
,Connecticut, 808 , 130 ,16.1%, 103 ,78.9%, 678 ,,,,,,
,Delaware, 185 , 16 ,8.8%, 12 ,74.6%, 168 ,,,,,,
,District of Columbia, 101 , 18 ,18.0%, 14 ,74.8%, 83 ,,,,,,
,Florida," 3,430 ", 921 ,26.9%, 719 ,78.1%," 2,509 ",,,,,,
,Georgia," 2,031 ", 222 ,10.9%, 164 ,73.8%," 1,809 ",,,,,,
,Hawaii, 277 , 77 ,27.9%, 65 ,83.3%, 200 ,,,,,,
,Idaho, 356 , 36 ,10.2%, 29 ,79.1%, 319 ,,,,,,
,Illinois," 3,082 ", 639 ,20.7%, 505 ,79.0%," 2,443 ",,,,,,
,Indiana," 1,510 ", 75 ,4.9%, 58 ,77.8%," 1,436 ",,,,,,
,Iowa, 709 , 39 ,5.4%, 28 ,71.6%, 670 ,,,,,,
,Kansas, 684 , 64 ,9.4%, 48 ,74.4%, 619 ,,,,,,
,Kentucky, 951 , 30 ,3.1%, 22 ,73.9%, 922 ,,,,,,
,Louisiana," 1,134 ", 51 ,4.5%, 43 ,84.5%," 1,083 ",,,,,,
,Maine, 292 , 13 ,4.5%, 11 ,85.2%, 279 ,,,,,,
,Maryland," 1,279 ", 192 ,15.0%, 151 ,78.6%," 1,087 ",,,,,,
,Massachusetts," 1,447 ", 276 ,19.1%, 220 ,79.8%," 1,172 ",,,,,,
,Michigan," 2,481 ", 200 ,8.1%, 155 ,77.4%," 2,281 ",,,,,,
,Minnesota," 1,249 ", 111 ,8.9%, 77 ,69.6%," 1,138 ",,,,,,
,Mississippi, 718 , 15 ,2.1%, 13 ,84.0%, 702 ,,,,,,
,Missouri," 1,364 ", 61 ,4.4%, 47 ,77.5%," 1,304 ",,,,,,
,Montana, 223 , 7 ,3.3%, 6 ,87.2%, 215 ,,,,,,
,Nebraska, 437 , 33 ,7.6%, 26 ,76.6%, 403 ,,,,,,
,Nevada, 485 , 143 ,29.6%, 115 ,80.2%, 342 ,,,,,,
,New Hampshire, 301 , 20 ,6.6%, 17 ,85.0%, 281 ,,,,,,
,New Jersey," 1,996 ", 541 ,27.1%, 425 ,78.7%," 1,455 ",,,,,,
,New Mexico, 481 , 84 ,17.4%, 67 ,80.5%, 397 ,,,,,,
,New York," 4,417 "," 1,328 ",30.1%," 1,045 ",78.7%," 3,090 ",,,,,,
,North Carolina," 1,847 ", 168 ,9.1%, 124 ,73.6%," 1,680 ",,,,,,
,North Dakota, 156 , 6 ,3.9%, 5 ,82.6%, 150 ,,,,,,
,Ohio," 2,777 ", 122 ,4.4%, 97 ,79.3%," 2,655 ",,,,,,
,Oklahoma, 838 , 58 ,7.0%, 47 ,80.8%, 779 ,,,,,,
,Oregon, 809 , 132 ,16.4%, 102 ,77.1%, 677 ,,,,,,
,Pennsylvania," 2,798 ", 180 ,6.4%, 141 ,78.5%," 2,619 ",,,,,,
,Rhode Island, 239 , 51 ,21.4%, 42 ,82.1%, 188 ,,,,,,
,South Carolina, 942 , 45 ,4.8%, 35 ,77.0%, 898 ,,,,,,
,South Dakota, 194 , 7 ,3.5%, 5 ,72.2%, 188 ,,,,,,
,Tennessee," 1,323 ", 61 ,4.6%, 46 ,75.4%," 1,262 ",,,,,,
,Texas," 5,552 "," 1,546 ",27.8%," 1,245 ",80.5%," 4,006 ",,,,,,
,Utah, 693 , 81 ,11.7%, 63 ,77.0%, 611 ,,,,,,
,Vermont, 145 , 9 ,6.2%, 7 ,83.1%, 136 ,,,,,,
,Virginia," 1,653 ", 217 ,13.2%, 170 ,78.4%," 1,435 ",,,,,,
,Washington," 1,453 ", 272 ,18.8%, 208 ,76.4%," 1,180 ",,,,,,
,West Virginia, 389 , 8 ,2.0%, 7 ,91.8%, 381 ,,,,,,
,Wisconsin," 1,323 ", 87 ,6.6%, 68 ,77.8%," 1,237 ",,,,,,
,Wyoming, 122 , 5 ,4.2%, 4 ,86.0%, 117 ,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
