,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Children Under 6 in Immigrant and Native Families, 2000*",,,,,,,,,
(in thousands),,,,,,,,,
,,,,,,,,,
,,Number of all children (0-5),Children (0-5) with at least one immigrant parent,,,,Children with U.S.-born parents,,
Year,Geography,,Number,As a percentage of all children,U.S. Born,U.S.-born children as a percentage of children in immigrant families,,,
,,,,,,,,,
2000,United States," 21,959 "," 4,466 ",20.3%," 4,067 ",91.1%," 17,493 ",,
,,,,,,,,,
,Alabama, 340 , 13 ,4.0%, 12 ,88.2%, 326 ,,
,Alaska, 57 , 6 ,11.3%, 6 ,97.0%, 51 ,,
,Arizona, 429 , 118 ,27.6%, 104 ,88.0%, 311 ,,
,Arkansas, 205 , 13 ,6.5%, 12 ,86.5%, 192 ,,
,California," 2,803 "," 1,351 ",48.2%," 1,247 ",92.3%," 1,452 ",,
,Colorado, 346 , 62 ,18.0%, 54 ,87.1%, 284 ,,
,Connecticut, 260 , 43 ,16.5%, 39 ,90.4%, 217 ,,
,Delaware, 60 , 7 ,10.9%, 6 ,89.0%, 53 ,,
,District of Columbia, 36 , 8 ,21.4%, 7 ,87.3%, 28 ,,
,Florida," 1,072 ", 291 ,27.2%, 266 ,91.3%, 781 ,,
,Georgia, 672 , 85 ,12.7%, 75 ,87.9%, 587 ,,
,Hawaii, 89 , 24 ,27.6%, 23 ,93.3%, 64 ,,
,Idaho, 114 , 13 ,11.5%, 12 ,91.2%, 101 ,,
,Illinois," 1,007 ", 230 ,22.8%, 209 ,91.1%, 778 ,,
,Indiana, 486 , 28 ,5.8%, 25 ,87.4%, 458 ,,
,Iowa, 220 , 15 ,6.9%, 14 ,88.6%, 205 ,,
,Kansas, 218 , 25 ,11.4%, 22 ,87.4%, 193 ,,
,Kentucky, 305 , 11 ,3.8%, 10 ,85.5%, 294 ,,
,Louisiana, 354 , 16 ,4.6%, 15 ,92.5%, 338 ,,
,Maine, 84 , 4 ,4.6%, 4 ,93.3%, 80 ,,
,Maryland, 402 , 66 ,16.3%, 60 ,91.9%, 337 ,,
,Massachusetts, 463 , 91 ,19.6%, 83 ,90.9%, 373 ,,
,Michigan, 784 , 71 ,9.1%, 62 ,87.7%, 713 ,,
,Minnesota, 383 , 40 ,10.4%, 34 ,86.2%, 343 ,,
,Mississippi, 228 , 6 ,2.5%, 5 ,94.3%, 222 ,,
,Missouri, 430 , 23 ,5.3%, 20 ,89.2%, 407 ,,
,Montana, 66 , 2 ,3.5%, 2 ,95.6%, 63 ,,
,Nebraska, 139 , 14 ,10.4%, 13 ,89.8%, 125 ,,
,Nevada, 167 , 53 ,31.9%, 49 ,92.7%, 114 ,,
,New Hampshire, 89 , 7 ,7.5%, 6 ,92.2%, 82 ,,
,New Jersey, 653 , 185 ,28.3%, 169 ,91.4%, 468 ,,
,New Mexico, 147 , 27 ,18.5%, 25 ,91.2%, 120 ,,
,New York," 1,414 ", 432 ,30.6%, 398 ,92.1%, 981 ,,
,North Carolina, 611 , 70 ,11.4%, 60 ,85.9%, 542 ,,
,North Dakota, 45 , 2 ,3.5%, 2 ,97.8%, 43 ,,
,Ohio, 875 , 42 ,4.8%, 37 ,89.0%, 833 ,,
,Oklahoma, 274 , 21 ,7.7%, 19 ,91.8%, 253 ,,
,Oregon, 253 , 49 ,19.2%, 44 ,90.7%, 205 ,,
,Pennsylvania, 853 , 59 ,6.9%, 54 ,91.1%, 794 ,,
,Rhode Island, 74 , 16 ,21.3%, 15 ,94.7%, 58 ,,
,South Carolina, 293 , 16 ,5.5%, 14 ,87.3%, 277 ,,
,South Dakota, 59 , 2 ,4.1%, 2 ,85.9%, 57 ,,
,Tennessee, 426 , 23 ,5.4%, 21 ,90.1%, 403 ,,
,Texas," 1,836 ", 541 ,29.5%, 494 ,91.3%," 1,295 ",,
,Utah, 238 , 32 ,13.5%, 28 ,87.5%, 205 ,,
,Vermont, 41 , 3 ,7.4%, 3 ,88.8%, 38 ,,
,Virginia, 535 , 78 ,14.5%, 71 ,90.7%, 457 ,,
,Washington, 461 , 96 ,20.7%, 85 ,89.4%, 365 ,,
,West Virginia, 121 , 3 ,2.3%, 3 ,97.3%, 118 ,,
,Wisconsin, 405 , 30 ,7.4%, 27 ,89.7%, 375 ,,
,Wyoming, 37 , 2 ,5.1%, 2 ,95.9%, 35 ,,
,,,,,,,,,
"*Includes only children who reside with at least one parent. The term ""immigrants"" refers to people residing in the United States who were not U.S. citizens at birth. This population includes naturalized citizens, lawful permanent residents (LPRs), certain legal nonimmigrants (e.g., persons on student or work visas), those admitted under refugee or asylee status, and persons illegally residing in the United States. Immigrant families are defined as families with at least one immigrant parent.",,,,,,,,,
"Source: Migration Policy Institute tabulations of the U.S. Census Bureau's 2000 Census data accessed from Steven Ruggles, J. Trent Alexander, Katie Genadek, Ronald Goeken, Matthew B. Schroeder, and Matthew Sobek. Integrated Public Use Microdata Series: Version 5.0 [Machine-readable database]. Minneapolis: University of Minnesota, 2010.",,,,,,,,,
