,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Children Under 18 in Immigrant and Native Families, 2012*",,,,,,,,,
(in thousands),,,,,,,,,
,,,,,,,,,
,,Number of all children (under 18),Children (under 18) with at least one immigrant parent,,,,Children with U.S.-born parents,,
Year,Geography,,Number,As a percentage of all children,U.S. Born,U.S.-born children as a percentage of children in immigrant families,,,
,,,,,,,,,
2012,United States," 70,153 "," 17,366 ",24.8%," 15,216 ",87.6%," 52,786 ",,
,,,,,,,,,
,Alabama," 1,059 ", 81 ,7.7%, 69 ,85.0%, 978 ,,
,Alaska, 178 , 24 ,13.3%, 18 ,75.9%, 154 ,,
,Arizona," 1,532 ", 443 ,28.9%, 394 ,89.0%," 1,088 ",,
,Arkansas, 666 , 74 ,11.1%, 64 ,86.8%, 592 ,,
,California," 8,811 "," 4,435 ",50.3%," 3,995 ",90.1%," 4,376 ",,
,Colorado," 1,176 ", 257 ,21.8%, 225 ,87.8%, 920 ,,
,Connecticut, 764 , 174 ,22.8%, 148 ,85.1%, 590 ,,
,Delaware, 192 , 36 ,18.9%, 32 ,88.4%, 155 ,,
,District of Columbia, 101 , 25 ,25.1%, 22 ,85.1%, 76 ,,
,Florida," 3,795 "," 1,249 ",32.9%," 1,067 ",85.5%," 2,546 ",,
,Georgia," 2,364 ", 465 ,19.7%, 409 ,87.8%," 1,899 ",,
,Hawaii, 286 , 83 ,29.1%, 70 ,84.2%, 203 ,,
,Idaho, 410 , 54 ,13.2%, 49 ,90.4%, 356 ,,
,Illinois," 2,943 ", 777 ,26.4%, 691 ,89.0%," 2,167 ",,
,Indiana," 1,512 ", 141 ,9.3%, 120 ,85.6%," 1,371 ",,
,Iowa, 693 , 63 ,9.0%, 53 ,84.3%, 631 ,,
,Kansas, 689 , 102 ,14.8%, 91 ,89.0%, 587 ,,
,Kentucky, 943 , 66 ,7.0%, 53 ,80.0%, 877 ,,
,Louisiana," 1,046 ", 61 ,5.8%, 53 ,87.3%, 985 ,,
,Maine, 252 , 17 ,6.7%, 14 ,81.4%, 235 ,,
,Maryland," 1,281 ", 327 ,25.5%, 279 ,85.4%, 954 ,,
,Massachusetts," 1,352 ", 359 ,26.5%, 307 ,85.6%, 993 ,,
,Michigan," 2,164 ", 266 ,12.3%, 225 ,84.6%," 1,897 ",,
,Minnesota," 1,236 ", 199 ,16.1%, 169 ,85.0%," 1,037 ",,
,Mississippi, 694 , 24 ,3.5%, 21 ,85.2%, 670 ,,
,Missouri," 1,326 ", 98 ,7.4%, 82 ,83.6%," 1,228 ",,
,Montana, 206 , 9 ,4.1%, 8 ,93.3%, 197 ,,
,Nebraska, 443 , 68 ,15.4%, 57 ,84.3%, 375 ,,
,Nevada, 634 , 246 ,38.8%, 222 ,90.1%, 388 ,,
,New Hampshire, 264 , 30 ,11.3%, 25 ,83.5%, 234 ,,
,New Jersey," 1,961 ", 707 ,36.1%, 612 ,86.6%," 1,254 ",,
,New Mexico, 489 , 93 ,19.1%, 81 ,86.7%, 395 ,,
,New York," 4,082 "," 1,451 ",35.5%," 1,259 ",86.8%," 2,631 ",,
,North Carolina," 2,168 ", 378 ,17.4%, 326 ,86.1%," 1,790 ",,
,North Dakota, 148 , 6 ,4.3%, 5 ,70.2%, 142 ,,
,Ohio," 2,521 ", 178 ,7.1%, 152 ,85.4%," 2,343 ",,
,Oklahoma, 879 , 112 ,12.7%, 97 ,86.6%, 767 ,,
,Oregon, 819 , 193 ,23.6%, 171 ,88.3%, 626 ,,
,Pennsylvania," 2,613 ", 285 ,10.9%, 244 ,85.5%," 2,328 ",,
,Rhode Island, 207 , 50 ,24.1%, 43 ,85.1%, 157 ,,
,South Carolina," 1,019 ", 99 ,9.7%, 86 ,86.2%, 920 ,,
,South Dakota, 193 , 9 ,4.7%, 7 ,81.5%, 184 ,,
,Tennessee," 1,402 ", 147 ,10.5%, 124 ,84.6%," 1,255 ",,
,Texas," 6,630 "," 2,279 ",34.4%," 2,005 ",88.0%," 4,351 ",,
,Utah, 853 , 144 ,16.9%, 126 ,87.2%, 708 ,,
,Vermont, 118 , 7 ,6.3%, 6 ,82.8%, 111 ,,
,Virginia," 1,771 ", 396 ,22.4%, 340 ,85.8%," 1,375 ",,
,Washington," 1,516 ", 421 ,27.8%, 366 ,87.0%," 1,094 ",,
,West Virginia, 360 , 8 ,2.2%, 7 ,82.8%, 352 ,,
,Wisconsin," 1,260 ", 136 ,10.8%, 119 ,87.2%," 1,124 ",,
,Wyoming, 130 , 11 ,8.7%, 9 ,82.6%, 118 ,,
,,,,,,,,,
"* Includes only children who reside with at least one parent. The term ""immigrants"" refers to people residing in the United States who were not U.S. citizens at birth. This population includes naturalized citizens, lawful permanent residents (LPRs), certain legal nonimmigrants (e.g., persons on student or work visas), those admitted under refugee or asylee status, and persons illegally residing in the United States. Immigrant families are defined as families with at least one immigrant parent.",,,,,,,,,
Source: Migration Policy Institute tabulations of the U.S. Census Bureau's 2012 American Community Survey.,,,,,,,,,
