Region and country of last residence ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Total,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031,1183505,1127167
Europe,126745,169948,169934,97186,128326,170126,152818,109243,109586,114992,95429,90712,86956,91095,87790,90789,98043,89706
 Austria-Hungary,2009,2303,4004,2176,3689,4569,2991,2057,2576,7555,4325,4703,3208,2061,2058,2965,2620,2886
Belgium,817,997,834,515,746,1031,891,733,829,764,732,700,698,803,775,809,821,742
Bulgaria ,4779,4273,3476,3706,4042,5451,4690,3766,2805,3015,2465,2549,2322,2720,2886,2585,2560,2070
Czechoslovakia ,1407,1911,1854,1472,1871,2182,2844,1851,1650,1649,1510,1374,1316,1258,1168,1236,1299,1142
Denmark,549,732,651,435,568,714,738,505,551,606,545,473,492,546,533,634,562,536
Finland ,377,497,365,230,346,549,513,385,287,421,414,398,373,360,368,397,512,478
France ,4063,5379,4567,2926,4209,5035,4945,3680,5246,4882,4339,3967,4201,4668,4544,5034,5473,4973
Germany ,12230,21992,20977,8061,10270,12864,10271,8640,8456,8612,7929,7072,6732,6880,6387,5965,5895,5369
Greece,5113,1941,1486,900,1213,1473,1544,1152,943,1076,966,1196,1264,1526,1388,1330,1664,1495
Ireland ,1264,1531,1400,1002,1518,2083,2038,1599,1499,1708,1610,1533,1694,1765,1721,1798,1895,1685
Italy,2652,3332,2812,1890,2495,3179,3406,2682,2738,3143,2956,2670,2946,3233,3647,3829,4385,4055
Netherlands,1455,1888,2296,1321,1713,2150,1928,1482,1423,1695,1520,1258,1294,1376,1373,1505,1550,1285
Norway ,508,582,460,385,457,472,532,388,386,429,363,405,314,389,332,357,404,377
Sweden ,1459,1962,1622,1131,1554,1792,1579,1216,1171,1297,1299,1125,1127,1276,1147,1194,1325,1146
Poland ,9750,12308,13274,11004,14048,14836,16704,9717,7896,8384,7391,6634,6024,6073,5437,4921,5287,4592
Portugal ,1373,1611,1301,808,1062,1084,1439,1054,781,966,759,878,837,917,920,869,1017,910
Romania ,6506,6206,4515,3305,4078,6431,6753,5240,4563,4557,3735,3679,3477,3475,3022,3160,3322,2722
Russia ,17480,21576,22520,14267,17231,20641,16190,11706,15179,10362,7502,8548,10114,10154,9455,9030,9280,8841
Spain ,1390,1875,1588,1102,1453,2002,2387,1810,1970,2118,2040,2319,2316,2970,3341,3707,4018,3555
Switzerland,1339,1786,1493,862,1193,1465,1199,885,936,1015,868,861,916,1040,888,1007,1090,837
United Kingdom ,14427,20118,17940,11155,16680,21956,19984,16113,16189,17417,14781,13443,13938,15321,14395,14653,14887,13318
Yugoslavia ,11960,21854,28051,8270,13213,19249,11066,6364,5812,5992,4772,4611,4488,4445,4321,4721,5392,4966
Other Europe,23838,33294,32448,20263,24677,38918,38186,26218,25700,27329,22608,20316,16865,17839,17684,19083,22785,21726
Asia,260107,343056,332874,240699,326362,392977,428084,370903,380899,394874,410209,438580,416488,389301,419382,405854,442854,404371
China,48985,60959,63839,42357,55701,69891,88104,75374,79799,64285,70897,86752,80826,71024,75007,73403,80640,69372
China_main,41804,50677,55901,37342,50280,64887,83590,70924,75410,60896,67634,83603,78184,68410,72492,70977,77658,66479
Hong Kong ,7181,10282,7938,5015,5421,5004,4514,4450,4389,3389,3263,3149,2642,2614,2515,2426,2982,2893
India,38938,65673,66644,47032,65507,79139,58072,55371,59728,54360,66185,66331,63320,65506,74451,61380,61691,57155
Middle_East,17083,21543,20715,14436,18839,23049,25088,21163,25604,27673,31001,29598,27283,24161,26850,26692,25393,24767
Iran ,6481,8003,7684,4696,5898,7306,9829,8098,9920,8840,9078,9015,8955,9658,8894,9074,9596,9311
Israel ,3871,4892,4907,3686,5206,6963,6667,4999,6682,6208,5172,4389,4640,4555,4251,4324,4652,4227
Japan ,7688,10424,9106,6702,8655,9929,9107,7213,7510,8218,7100,6751,6581,6383,5980,5808,5709,5176
Jordan ,4476,5106,4774,4008,5186,5430,5512,5516,5692,7850,9327,8211,7014,5949,9028,7835,7345,8219
Korea ,15107,19728,19917,12076,19441,26002,24472,21278,26155,25582,22022,22748,20802,22937,20313,16976,21329,18559
South_East_Asia,65624,85181,80865,64360,84725,88486,100834,96302,82198,86504,86464,88737,83019,79533,78458,84639,91021,84083
Philippines ,40465,50644,48493,43133,54651,57654,71133,68792,52391,58107,56399,55251,55441,52955,48633,54307,50609,46542
Syria ,2255,3542,3350,2046,2549,3350,3080,2550,3310,4775,7424,7983,6674,3999,4677,5459,3800,3010
Taiwan ,9457,12457,9932,7168,9314,9389,8545,9053,9237,8105,6785,6206,5295,5336,4712,4814,5062,4787
Turkey ,2702,3463,3914,3318,4491,6449,6433,4728,4953,7943,7435,9040,7362,7189,7248,8762,8635,9144
Vietnam ,25159,34537,32372,21227,30074,30832,29701,27510,29807,28397,30065,33486,27578,26578,29825,30332,40412,37541
Other Asia,54523,63628,57942,43250,59689,80643,107429,80421,85715,112204,112320,122417,122000,107232,126363,123380,143374,131328
America,392461,470794,477363,305936,408972,432726,548812,434272,491045,479845,426981,423277,409664,399380,400102,439228,502639,489676
Canada and Newfoundland ,21289,29991,27142,16447,22439,29930,23913,20324,22366,22508,19491,19506,20138,20489,17670,19309,19349,18469
Mexico ,171445,204032,216924,114758,173711,157992,170042,143180,188015,164067,138717,142823,145326,134198,133107,157227,172726,168980
Caribbean,84250,96384,93914,67498,82116,91371,144477,114318,134744,144897,139389,133012,126615,121349,133550,146086,180479,173724
Cuba ,17897,25832,27435,8685,15385,20651,44248,25441,48057,38111,33372,36261,32551,31343,46505,54178,66120,64749
Dominican Republic ,17373,21139,22386,26112,30063,27365,37997,27875,31801,49381,53890,46036,41535,41487,44550,50382,60613,58384
Haiti ,21977,22470,19151,11924,13695,13491,21625,29978,25522,23994,22336,21802,22446,20083,15107,16787,23185,21501
Jamaica ,15603,15031,14507,13045,13581,17774,24538,18873,18077,21494,19439,19298,20300,19052,18804,17362,22833,21517
Other Caribbean ,11400,11912,10435,7732,9392,12090,16069,12151,11287,11917,10352,9615,9783,9384,8584,7377,7728,7573
Central America,60331,72504,66298,53283,61253,52629,74244,53834,49741,47013,43597,43249,39837,44056,43638,46556,54512,52907
Belize ,774,982,983,616,888,901,1263,1089,1113,1073,997,933,875,969,823,804,878,754
Costa Rica ,1390,1863,1686,1322,1811,2479,3459,2722,2287,2552,2306,2230,2152,2232,2018,2121,2295,2259
El Salvador ,22301,30876,30472,27854,29297,20891,31258,20009,18937,19342,18547,18477,15874,18015,18964,18699,21268,21920
Guatemala ,9861,13399,15870,14195,18655,16468,23674,17198,15791,11881,10263,10795,9857,9829,9871,11466,12548,12792
Honduras ,5851,6546,6355,4582,5339,6825,8036,7300,6389,6290,6381,6053,6773,8795,8025,9071,12996,11147
Nicaragua ,18258,16908,9171,3503,3842,3196,4035,3587,3486,4029,3476,3314,2943,2940,2773,3262,3397,3014
Panama ,1896,1930,1761,1211,1421,1869,2519,1929,1738,1846,1627,1447,1363,1276,1164,1133,1130,1021
Other Central America ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South America,55143,67880,73082,53946,69452,100803,136134,102616,96178,101359,85783,84687,77748,79287,72135,70049,75571,75595
Argentina ,2472,3426,3791,3193,4672,6945,7239,5375,5170,5672,4312,4335,4218,4227,3757,3542,3783,3191
Bolivia ,1744,1804,1660,1365,1719,2164,4000,2326,2350,2789,2211,2113,1920,2005,1663,1549,1481,1399
Brazil ,6767,9391,9034,6108,10247,16329,17741,13546,11813,14428,12057,11643,11248,10772,10246,11247,13528,14832
Chile ,1660,1881,1766,1255,1719,2354,2727,2202,1988,2240,1940,1854,1628,1751,1591,1620,1711,1664
Colombia ,14125,16234,18409,14400,18055,24705,42017,32055,29349,27221,21861,22130,20272,20611,17614,16509,16830,16341
Ecuador ,7624,9654,10524,7022,8366,11528,17624,12011,11541,12083,11463,11068,9284,10553,10871,9816,10779,10826
Guyana ,5255,7835,9492,6373,5721,8771,9010,5288,6302,6326,6441,6288,5282,5564,6031,5313,4909,4683
Paraguay ,394,464,413,222,324,523,725,518,489,551,449,501,454,437,363,353,400,364
Peru ,9361,10838,11737,9169,11369,15205,21300,17056,14873,16706,14063,13836,12414,12370,10450,9973,10519,9767
Suriname ,281,254,223,175,170,287,341,193,225,214,202,167,216,170,160,116,130,111
Uruguay ,396,516,499,470,750,1110,1639,1340,1380,1727,1286,1521,1348,1314,1098,1023,911,952
Venezuela ,5052,5576,5529,4190,6335,10870,11758,10696,10689,11392,9497,9229,9464,9512,8289,8985,10590,11465
Other South America ,12,7,5,4,5,12,13,10,9,10,1,2,-,1,2,3,-,-
Other America ,3,3,3,4,1,1,2,-,1,1,4,-,-,1,2,1,2,1
Africa,40790,50009,56002,45559,62623,79697,112100,89277,100881,122804,98246,97429,103685,94589,94834,98677,110754,116667
Egypt ,4323,5333,6215,3928,6590,10296,13163,10178,10728,10810,9822,9096,10172,10719,12043,13907,13367,11166
Ethiopia ,3645,4620,6308,5969,7180,8378,13390,11340,11703,14674,13853,13985,15400,13484,12926,12566,13699,15678
Liberia ,1225,1477,1467,1081,1540,1846,3736,3771,3478,3695,2924,3117,3451,3036,3681,3580,3545,4085
Morocco ,3423,4752,3188,2969,3910,4165,4704,4311,4187,5235,4847,4249,3534,3202,3495,3569,4447,4066
South Africa ,2814,4046,3685,2088,3335,4425,3173,2842,2638,3175,2705,2754,2960,2693,2871,3298,3441,3438
Other Africa,25360,29781,35139,29524,40068,50587,73934,56835,68147,85215,64095,64228,68168,61455,59818,61757,72255,78234
Oceania,5928,7201,6495,5076,6954,7432,8000,6639,5926,6142,5946,5825,5573,6061,5980,6227,6489,5986
Australia ,2694,3714,3420,2488,3397,4090,3770,3026,3031,3098,3077,3062,3146,3529,3582,3795,4173,3818
New Zealand ,1080,1347,1364,1030,1420,1457,1344,1234,1092,1127,1046,1006,980,1027,941,978,939,900
Other Oceania,2154,2140,1711,1558,2137,1885,2886,2379,1803,1917,1823,1757,1447,1505,1457,1454,1377,1268
Not Specified ,14971,17894,16688,9086,24646,39299,16315,42081,18789,12161,5814,6217,9265,10127,8430,10256,22726,20761
