Year,Population,Type
1950,249187,obs
1951,205717,obs
1952,265520,obs
1953,170434,obs
1954,208177,obs
1955,237790,obs
1956,321625,obs
1957,326867,obs
1958,253265,obs
1959,260686,obs
1960,265398,obs
1961,271344,obs
1962,283763,obs
1963,306260,obs
1964,292248,obs
1965,296697,obs
1966,323040,obs
1967,361972,obs
1968,454448,obs
1969,358579,obs
1970,373326,obs
1971,370478,obs
1972,384685,obs
1973,398515,obs
1974,393919,obs
1975,385378,obs
1976,499093,obs
1977,458755,obs
1978,589810,obs
1979,394244,obs
1980,524295,obs
1981,595014,obs
1982,533624,obs
1983,550052,obs
1984,541811,obs
1985,568149,obs
1986,600027,obs
1987,599889,obs
1988,641346,obs
1989,1090172,obs
1990,1535872,obs
1991,1826595,obs
1992,973445,obs
1993,903916,obs
1994,803993,obs
1995,720177,obs
1996,915560,obs
1997,797847,obs
1998,653206,obs
1999,644787,obs
2000,841002,obs
2001,1058902,obs
2002,1059356,obs
2003,703542,obs
2004,957883,obs
2005,1122257,obs
2006,1266129,obs
2007,1052415,obs
2008,1107126,obs
2009,1130818,obs
2010,1042625,obs
2011,1062040,obs
2012,1031631,obs
2013,990553,obs
2014,1016518,obs
2015,1051031,obs
2016,1183505,obs
2017,1127167,obs
2018,1203740.244,pre
2019,1219541.113,pre
2020,1235341.983,pre
2021,1251142.852,pre
2022,1266943.722,pre
2023,1282744.591,pre
2024,1298545.46,pre
2025,1314346.33,pre
2026,1330147.199,pre
2027,1345948.069,pre
2028,1361748.938,pre
2029,1377549.807,pre
2030,1393350.677,pre
2031,1409151.546,pre
2032,1424952.416,pre
2033,1440753.285,pre
2034,1456554.154,pre
2035,1472355.024,pre
2036,1488155.893,pre
2037,1503956.763,pre
2038,1519757.632,pre
2039,1535558.501,pre
2040,1551359.371,pre
2041,1567160.24,pre
2042,1582961.11,pre
2043,1598761.979,pre
2044,1614562.848,pre
2045,1630363.718,pre
2046,1646164.587,pre
2047,1661965.456,pre
2048,1677766.326,pre
2049,1693567.195,pre
2050,1709368.065,pre
